name,price,customer_ratings,category,image
Smart Towel Warmer - Coolbreeze Insulation Tech | Voice Control with Alexa & Google Assistant | Matte Finish | 20L,$89..99,4.1 out of 5 stars,smart home devices,"https://m.media-amazon.com/images/I/61ijBnhVSeL._AC_SR263,263_QL70_.jpg"
"EIGHTREE Smart Plug, Smart Plugs That Work with Alexa and Google Home, Compatible with SmartThings, Smart Outlet with WiFi Remote Control and Timer Function, 2.4GHz Wi-Fi Only, 4 Packs",$21..05,4.4 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61N5B-hXXXL._AC_SX148_SY213_QL70_.jpg
"Kasa Smart LED Light Strip, 16.4ft WiFi LED Strip Works with Alexa, Google Home, SmartThings, High Brightness with 16 Million Colors, RGB, Grouping, Adjustable Length, Up to 25,000 Hours (KL400L5)",$19..98,4.4 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61ul+J5L+FL._AC_SX148_SY213_QL70_.jpg
"Uigos LED Night Light Lamp with Smart Sensor Dusk to Dawn Sensor, Daylight White, 0.5W Plug-in, 6-Pack",$7..99,4.7 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61jJspQTTlL._AC_SX148_SY213_QL70_.jpg
"Google TV Streamer 4K - Fast Streaming Entertainment on Your TV with Voice Search Remote - Watch Movies, Shows, Live TV, and Netflix in 4K HDR - Smart Home Control - 32 GB of Storage - Porcelain",$99..99,4.3 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/510wm50VDHL._AC_SX148_SY213_QL70_.jpg
"Keyless-Entry Door Lock, Fingerprint Smart Locks for Front Door, Deadbolt Smart Lock, Auto Lock-App Remote Control-Easy Install, Electronic Door Lock Perfect for Exterior, Interior, Bedroom",$56..79,3.9 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61htYhpJ-DL._AC_SX148_SY213_QL70_.jpg
Smart Towel Warmer - Coolbreeze Insulation Tech | Voice Control with Alexa & Google Assistant | Matte Finish | 20L,$89..99,4.1 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61ijBnhVSeL._AC_SX148_SY213_QL70_.jpg
"Govee RGBIC Floor Lamp, LED Corner Lamp Works with Alexa, 1000 Lumen Smart Modern Floor Lamp with Music Sync and 16 Million DIY Colors, Color Changing Standing Lamp for Bedroom Living Room Black",$66..49,4.5 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/615Yog6t9nL._AC_SX148_SY213_QL70_.jpg
"WYZE Cam Pan v3 Indoor/Outdoor IP65 1080P 360° Pan/Tilt/Zoom Wi-Fi Smart Home Security Camera with Motion Tracking for Baby & Pet, Color Night Vision, Works with Alexa & Google Assistant, White",$36..99,4.3 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/51DkvoYXSyL._AC_SX148_SY213_QL70_.jpg
"ecobee Smart Thermostat Premium with Smart Sensor and Air Quality Monitor - Programmable Wifi Thermostat - Works with Siri, Alexa, Google Assistant",$233..99,4.4 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/51U1jXuTPVL._AC_SX148_SY213_QL70_.jpg
"GHome Smart Plug,WiFi Smart Plugs Compatible with Alexa and Google Home,Smart WiFi Outlet with Remote Control and Timer Function,2.4GHz Wi-Fi Only,No Hub Required, ETL FCC Listed,White(4 Pack)",$26..99,4.3 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/61mwZi5guiL._AC_SX148_SY213_QL70_.jpg
"Blink Video Doorbell (newest model) — Two-way audio, HD video, long-lasting battery life, wired or wire-free install, motion detection, chime app alerts, Works with Alexa (Black)",,4.2 out of 5 stars,smart home devices,https://m.media-amazon.com/images/I/41te-uzWxDL._AC_SX148_SY213_QL70_.jpg
